	Bom								
"2027,""Agora, só resta a saudade 😢"""	Ruim								
22088,escola amanhã? to fora	Ruim								
20664,Os cara do pânico não perdoa jkkkkkkkkk	Ruim								
18976,TWO TWEETS IN TEN MINUTES? WE'VE BEEN BLESSED TODAY https://t.co/jKXzvGtV2P	Bom								
21907,A diversão da minha vida é ouvir covers de minhas musicas preferidas	Bom								
5385,Ah Paloma quer pq quer senta no pai	Neutro								
"21113,""@khauani_Duarte to até c saudade dele, sabia"""	Bom								
4824,reconciliação com a pessoa que você ama é a melhor coisa do mundo ❤️	Bom								
8246,To brava  #askbelieber	Ruim								
22248,@Magrao_SCCP @guipaoficial Fmz chocador de Aurora !	Neutro								
1695,meu pe ta doendo só de ve as foto credo	Ruim								
21740,Vai Wilber. Continua seguindo o baile	Neutro								
183,@changyuxs partiu	Bom								
11072,essa foi pra acabar com o ano...	Ruim								
"18396,""Drogon: Não mexam com a mamãe! "	Ruim								
#Dracarys🔥🔥	Neutro								
"#GOTBr #GameOfThrones #GoTS7 https://t.co/ZCyBmTM0bT"""	Ruim								
13521,Todos os meus amigos tão  com problemas meio sérios e eu tô me sentindo meio inútil por não conseguir fazer eles se sentirem melhores	Ruim								
4244,aí q xexelenta	Bom								
18297,a que ponto eu cheguei vendo reality de encontros amorosos ?	Neutro								
19332,Mo parada	Ruim								
2591,ah mas eu vou ver de novo sim	Bom								
"10075,""To querendo muito que me chame amanha pra conversarmos bastante, quero sair com voce &lt"	Bom								
404,acho que 2017 vai ser o ano em que eu vou mostrar alguma gravação minha para os meus pais sem ser forçada ou me sentir mal com isso	Bom								
15485,Séloco mó frio https://t.co/oO1KGXAre5	Ruim								
8636,JOAO PEDRO PARA DE TWITTAR NA MINHA CONTA DEMONIO	Ruim								
13118,preciso de pazzzzzz de tudo ☮ https://t.co/siFvS7hCKy	Ruim								
14515,Meu sonho de princesa de ter minha cama king vai ser realizado com essa reforma que estou fazendo no meu quartinho	Bom								
9126,Vou investigar  #askbelieber	Bom								
9448,DRACARYS NA PORRA TODAAAAAAAAAAAAAA!!!!!! #GoTS7	Neutro								
13090,é*	Neutro								
6423,sjsiahsuahshahahauauahaauuaahaahauahakakaakakajajakakakakahsuahsuasuuashah https://t.co/ARvV5LWgpX	Ruim								
17659,Mindinho forçando amizade com o Bran #GOT7	Ruim								
13190,E assim terminamos o sarau: Fernanda Zara chorando e prof. Daniel querendo nos levar pro teatro municipal rsrsrs	Neutro								
20523,@Anatavares015 ficou bonitinho vai	Bom								
7999,SIM https://t.co/RlO0pr8T1c	Bom								
"22694,""meu sonho de princesa saber de onde tiram q eu namoro "	Ruim								
só se for a solidão 	Ruim								
os boletos 	Neutro								
"as série"""	Bom								
1120,Mas se tem uma coisa que estou é feliz	Bom								
"20333,""Porque garotas não mordem "	Bom								
"A menos que você peça 🎶"""	Neutro								
"17594,""Na teoria o Jaime pode morrer afogado.....pode!"	Ruim								
"Mas não faria o menor sentido narrativamente falando. #GameOfThrones"""	Ruim								
"23268,""Esses dias tocou sua cara na escola, fiquei como ?"""	Neutro								
"15602,""Minha família inteira """"Próximo casamento é seu em Sa"""" claro lindos, arrumem a noiva que eu caso"""	Bom								
"20961,""uma coisa que era pra ser fácil e """"prazerosa"""" acaba ficando massante"""	Ruim								
13995,NÃAAAOOOOOO #IveteAvontade https://t.co/ZpDyZpt0mS	Ruim								
5918,A que dorme no meio da conversa? Eu mesma	Bom								
"10428,""Tão inútil é o orgulho, passageiro é o mundo..."""	Ruim								
19330,to triste pq meus pulsos estão mais marcados ainda	Ruim								
21169,minha própria irmã me fazendo cair no gemidão	Neutro								
7675,Meu Deus que vontade de comer algo doceeee	Bom								
"12318,""oik eh lindo msm ne, como pode"""	Bom								
3409,Deveria ter ido p pagode!!!!!	Ruim								
22185,Ok preciso dormir	Bom								
16529,Amo❤️❤️❤️❤️ https://t.co/uC6NI8RRnN	Bom								
10241,Que dor no peito :x	Ruim								
839,pisão https://t.co/LZBOGUVxl2	Neutro								
"10920,""Vou dormir, boa noite"""	Bom								
6594,Doe orgãos #Fantástico	Bom								
9266,Estou tão orgulhosa da pessoa que estou me tornando	Bom								
"17534,""Olá, não tenho assunto mas tenho interesse."""	Bom								
"17020,""@Oliverasmath E quem me viu, se visse hoje não acreditaria"""	Bom								
"10601,""tive piercings em vários lugares e nenhum foi tão filho da puta quanto esse na parte da cartilagem da orelha, saporra nunca mais cicatrizou"""	Ruim								
22837,Só de pensar que eu tenho q acordar cedo ja bate mó tristeza	Ruim								
"21681,""Tô deixando rolar, o que for pra ser, será... e o que não for, vai da um jeito de sumir da minha vida e chegar algo muito melhor! ?"""	Bom								
11979,Boa noite mundo	Bom								
18495,ADOROOOOOOOOO https://t.co/VrMhcg0zl6	Bom								
18678,Eu https://t.co/Y2OymOF2cF	Bom								
"8328,""@crvgabs Sim gabi, to complicado, as pessoas so me chamam pra comer, assim não dáaaaaa"""	Ruim								
15897,FODA SE MEU ANJO	Ruim								
21327,@netto_lolo @_arthurvital ngm liga mane	Neutro								
10555,@bemyguest__ @EduNFL @Madden_in_Brasi @mimentz @LauraPeconick EU TBMM EUUUU	Bom								
10999,Linda mesmo	Bom								
14707,só agradece 🙌🏻	Bom								
"21765,""@_camifacchini @lucasvinnicius_ Ah tá, OU É CINTURINHA OU É LUCAS OU VINICIUS ASSIM NUM DÁ qnt nome mds"""	Bom								
"5801,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x30"""	Bom								
17237,Não consigo nem pensar em tirar uns nudes	Neutro								
"23302,""Não importa quanto tempo demore, a promessa do meu Deus não falhará"""	Bom								
490,@HayesGrier  @LukeFoushee   This was 1 year Ago! You Remember? TE AMO ♥🇧🇷 https://t.co/0hJt4nJeam	Bom								
"6751,""segunda feira = 12 letras"	Neutro								
Derrota do SP + tristezas =20 letras	Neutro								
12+20 = 38 	Neutro								
"Euuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu = 38 Letras"""	Neutro								
5924,Hoje só queria dormir com alguém pegando nos meus peitos memo	Neutro								
22715,SCRR KKKKK ESSE É O MEU VIDOE FAV https://t.co/iRCcUTUDwR	Bom								
10682,Tá patenteado kakak https://t.co/OSvFlI1Aua	Bom								
15672,@raquelsalotte @beatriz_chama Agora que eu me vi na foto	Bom								
18561,Quem quiser compra uns retrovisor de 66 da um salve 🤙🏻	Neutro								
"21932,""Eu tava feliz, comecei a ouvir Lana Del Rey e fiquei triste, não aguento as letras dessa mulher é bad d+"""	Ruim								
"15955,""Mês que vem eu já faço 19 anos e ainda não tenho barba, triste."""	Ruim								
8025,Sor Davos sempre sabe o que dizer. Kkkkkkkkkk  #GoTS7 https://t.co/pVAQbI4Gh3	Bom								
"16702,""Eu dormi pra coroooi esse fds, mas vou acordar amanhã morrendo de sono"""	Ruim								
23234,Parei com esse pânico	Neutro								
"21975,""@EnzoKotzu eu confio que aquele não seja você de verdade bran, relaxa https://t.co/9sVAJNbkDA"""	Bom								
"6480,""mais uma decepção amorosa que chega e com ela a """"segue o baile"""""""	Bom								
16718,Culto foi bom demais e dps de boa c meu amorr	Bom								
18367,Como podemos observar a vitória é a chata da escola https://t.co/a1qaMAg5Xt	Ruim								
10502,Sor Bronn vingativo msm	Ruim								
4448,Dia de #DominGoT com @sitePopCultura e pipoca nos baldes da @cinepolisbrasil https://t.co/M7ZoQrccqj	Bom								
11005,@pequenolusca só aprender a jogar futebol	Neutro								
3385,a melhor coisa q eu faço é ir dormir	Bom								
5574,vontade de chutar	Bom								
2934,cheguei inferno	Ruim								
"8879,""o que adolescentes normais querem: namorar"	Bom								
									
"o que eu quero: dinally follows"""	Bom								
22188,E QUE JÁ NAO DAVA MAISSS	Ruim								
"7021,""Gente que lindeza, apx estou https://t.co/rjeg6W7LLA"""	Bom								
19771,Pra quem tá na dúvida eu não namoro mais rss	Neutro								
17207,q virada kkkk	Bom								
10624,Eu espero ficar NUA	Neutro								
"20400,""@missassenach @annabalfe miga é bom? tô muito afim de comprar pelo plot, mas ainda tô meio assim"""	Neutro								
7415,Melhor qualidade do q volume kk	Bom								
12770,bá o @diego_burkert é foda EUOIEUOIE	Neutro								
9160,@llysmSeokjin https://t.co/P2SVxzbPpr	Bom								
19185,Nenhum pouco animado pra voltar pra faculdade	Ruim								
8256,Um mito da vida kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk https://t.co/NvPDX6QZkP	Bom								
2436,Mais de duas horas no cel	Neutro								
4406,Quero abrir alguma loja de alguma coisa	Bom								
3090,Eu só pego no ar essas troca de indiretas	Neutro								
3572,Que sono mano 😐	Bom								
22542,00:00 meet shawn :)	Bom								
8534,Tô atacada 😂	Ruim								
"5086,""Às vezes tenho medo de ler certas coisas aqui, prefiro ficar alienada a ver."""	Neutro								
"9745,""Quero muito ir pra BUG quinta,mas não tem ninguém pra ir comigo 😟"""	Ruim								
159,To loko pra comer pizza de chocolate	Bom								
22909,os dedinho dele https://t.co/oOvJuekckV	Neutro								
"22586,""Mozão não gostou da foto que tirei dele, to nem ai"""	Neutro								
"11173,""Mano, há 1 ano atrás, estava tendo um dos piores dias da minha vida!"""	Ruim								
"6848,""hoje eu só tô esse cachorrinho, lamentando a vida mentalmente https://t.co/03VJ0nb4xj"""	Ruim								
7029,Fiz um x-salada monstro	Bom								
4689,MINHAS MENINAS LINDAS EU AMO TANTO SOCORRO	Bom								
"6843,""#OsVelhinhosSeDivertem veinhos p/ pessoal """"aonde podemos mostrar a bunda?"""" 😂😂😂😂😂😂 #HAHAHAHAHAHA #ProgramaSilvioSantos @PgmSilvioSantos."""	Bom								
"18540,""Acordar e transar, durmir e transar, comer e transar, tomar banho e transar 💙 amo amo amo"""	Bom								
15785,@flawlessxzz pegou mt pesado meu deus :z	Ruim								
14262,@Felshow10 com direito a bolo do botafogo hahaha	Bom								
"22805,""Queria que tivessem me avisado antes que depois de assistir """"A Cabana"""" meu rosto ia ficar inchado de tanto chorar pqp"""	Ruim								
11029,@_donghaek jaja eu venho	Neutro								
9,Isso muda meu dia/minha noite https://t.co/HCCrtDxNvn	Bom								
9468,Eu fiz  #askbelieber	Bom								
10607,❤️❤️❤️ https://t.co/L2aOuQgc22	Neutro								
9013,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	Neutro								
"7703,""DEIXA EU TE CONHECER, ME DIGA QUEM É VOCÊ https://t.co/hTenhsqAWu"""	Neutro								
14957,@omarcosmacedo te ver parece missão impossível fera	Neutro								
568,@lucasedson00 Kkkkkkkk q resenha é essa meu rei	Bom								
6676,@ilovesafadeza https://t.co/t4aA8eWpNp	Bom								
"18132,""dracarys n é o nome do dragão"	Neutro								
dracarys n é o nome do dragão	Neutro								
dracarys n é o nome do dragão	Neutro								
dracarys n é o nome do dragão	Neutro								
dracarys n...	Neutro								
									
"#GOT7"""	Neutro								
8571,Theon Greyjoy aí meu Deus..  Jon não deu nele... #GoTS7 #GameOfThrones	Ruim								
23062,GOSTO ASSIM https://t.co/eA1WcXaRgH	Bom								
13744,https://t.co/fNAcb8rDiU	Neutro								
4469,EU TÔ SOFRENDO ANTECIPADAMENTE	Ruim								
18539,Mtt bom minha vibe com minhas bebês S2 me dou super bem	Bom								
5219,Essa borboleta.. eu nem tenho o q falar.. https://t.co/aqJTq3NjVx	Bom								
"18014,""bah o guilherme se acha né, mereço"""	Ruim								
22281,O #JornaldeDomingo está chegando ao fim. Semana que vem voltamos com mais entrevistas e destaques da redação. Uma ótima noite!	Bom								
9416,hj fui na missa de novo e me senti uma completa retardada descolada oba	Bom								
11204,a oferta ainda está de pé	Bom								
19009,Crush não me decepcionaaaa	Bom								
23237,deus me defenda	Ruim								
19446,@Lyncoln_7 @gabyrteles fala bonito é com nois memo HAHAHA	Bom								
695,Já aconteceu cmg 😂😂😂😂😂 https://t.co/KVSsOsJsoE	Bom								
"22698,""Nunca comi um Mc com tanto gosgo, depois de 2:30 esperando o pedido do subway. Pedi um Mc e em menos de 30min ja tava comendo"""	Bom								
18648,Bendito seja o ser que inventou o uber meus queridos	Bom								
15615,Poético mas é verdade https://t.co/2G28KyJOQp	Bom								
19405,vou dormir	Bom								
21473,Meu deus não pode ser https://t.co/RBrSmkeewG	Ruim								
"6374,""muuuuuuuuuita midiazinha pra quem chorava pra mina dos outros, segue o baile"""	Neutro								
18020,@PeixotoWender Deu nisso...	Neutro								
"18130,""Fui pra praia e dormi com meu neném, que dia bom 👩‍❤️‍👨❤️"""	Bom								
5914,eu tenho tanta coisa essa semana	Bom								
22749,EU E QUEM https://t.co/e5KnjAFa9l	Bom								
3400,Não acredito	Neutro								
18104,@frigericat Amoo tuu	Bom								
5153,BOA NOITE A TODOS BRASILEIROS	Bom								
6949,Tô tão titi será que voce poderia me levar no cinema?	Neutro								
19568,Engraçado demais quem usa o stories do wpp pra postar indireta pros contatinhos KKKK	Bom								
19447,@lisaopppa um desperdício de hino chega dá raiva	Ruim								
3384,Vamos beber? #askbelieber	Bom								
22054,Caralho...	Ruim								
"23075,""@JuliaLima97 Deus me livre mulher kkk, n fala isso depois da treta q deu c KARD kkk, queria tipo Ponto Kpop, que já… https://t.co/3hT4gJpRqv"""	Bom								
22874,@MatheusAM17 recado do hempire https://t.co/I2hHlt5YOm	Ruim								
"2380,""Quero ver mudar mas se eu aqui só esperar, eu sou um deles...sou só um deles"""	Bom								
"21382,""@Isa_feltrin Miga eu vou começar, se é série de sofrer eu já quero, rs"""	Bom								
1151,nem contei que sonhei com stony foi mt bom	Bom								
16635,Tenho tendência a estragar as coisas.	Ruim								
22121,ESPECIAL E FICA NA VONTADE DE VER OUTRAS SÉRIES AINDA E CEDO VÊ AINDA EM HD 720p A MAIORIA DAS PESSOAS ESTUDAM \Õ/	Bom								
"12118,""""""Quem pode pode, quem não pode manda indireta"""", hahahhhha nada contra ninguém !!! 🤔🤔🤔🤔🤔🤔🤔🤔🤔 https://t.co/scLihXE3cB"""	Bom								
402,Essa saudade não sai de mim mais	Bom								
6991,mds trouxeram um cheesecake pra mim to morrendo	Bom								
16783,rolê de domingo já é doença	Neutro								
"21578,""adoro meter uma de arteira nas ideia"	Bom								
sentei me foder fodeu 	Neutro								
"se não, só sucesssoooooooo"""	Neutro								
3468,SAI DE PERTO DO MEU BRAN EMBUSTE	Neutro								
359,Me identifico KKKKKKKK https://t.co/LcEbs0PY3J	Bom								
5782,Se tudo der certo	Neutro								
15850,Verdade 70% https://t.co/PrjuxwFaFG	Bom								
"13999,""gente todo mlq q fla d mim p minhas irmãs, elas ficam flando q n curto homem certinho kkkkkkkkk eu casco mto"""	Bom								
17063,Quando tu tá no trânsito e tira foto foda com a luz do freio do cara da frente https://t.co/uTM0MOnJiY	Neutro								
"1011,""Hahaha, aí amiga, o que vc acha dessa nova tática? 😬 @gabif86 https://t.co/qJ6SxoYiAl"""	Neutro								
11208,MAS ERA ÓBVIO QUE ISSO IA ACONTECER EU TÔ COM RAIVA	Ruim								
"4025,""@nextelbrasil adianta a renovação da minha internet ai, tá muito lerda e ainda faltam 19 dias  😣😣"""	Ruim								
6207,@giuli_basilio @rhycavalcante @ggiovannagp @jessepinkmans_ eu sou muito apaixonada plea primeira foto	Bom								
3920,@Kanon41 Eu desenhei sdkjfnskj	Bom								
"14941,""Melhor narração, tô rindo muito 😂😂 https://t.co/5vS2FNzkjR"""	Bom								
"7037,""🦋- não vou ver mais 💔, mas acho um amor de pessoaaaa"""	Bom								
2636,o james wan é irmão do kagawa	Neutro								
17795,Mds como faz pra pular para o próximo domingo? #GameOfThrones https://t.co/DJPcXUl0i4	Ruim								
"1875,""Não entendi o que esse menino fez, pagou de bugrino ontem no jogo, e hj foi na torcida da ponte 🤔🤔🤔🤔"""	Neutro								
"6628,""As vezes me pergunto se eu n entendi errado, confundi amizade com estar apaixonadoooo"""	Neutro								
12018,@tapprestes @s1kehpc Vou me intrometer pra falar pra você estudar mais ingles (comigo)	Bom								
3999,VOCÊS PODEM FAZER O JOGO QUE QUISER QUE NO FINAL NOIS VAI ROUBAR SEU VIDEO GAME 🎶 legenda da prox pic	Neutro								
"5904,""@_laisduque kkkkkkkkkkkkkkkkkk creio q sim, porque?"""	Bom								
21976,2. na verdade eu sou o lixo que aparece lá trás https://t.co/WKcxB2yyRs	Neutro								
12557,@marinafvieira Kitristi	Neutro								
22403,Muitos quem? JORGINHO NÃO!  #RuedaNoFlamengo #VemRueda https://t.co/Rywb8jfR6D	Ruim								
"22269,""olha isso bicho ela fala bem d+ PISA MENOS LOLLY"	Neutro								
"https://t.co/l2gOifDfVk"""	Neutro								
19710,Sou uma parte do todo	Bom								
2361,Só fui bem nessa rodada porque escalaram pra mim 😅	Neutro								
"12281,""De repente tomei um susto pensando que o aniversário da minha irmã havia passado a dias e eu não mandei mensagem"	Ruim								
"na vdd ainda nem chegou"""	Bom								
"16091,""não vou conseguir dormir e a culpa é de GOT, são muitas teorias"""	Neutro								
5022,parei de fazer tanta coisa que me fazia bem aaaaaaaa	Ruim								
1490,the burden's on your back	Neutro								
21942,solamente rio de tu	Neutro								
"8143,""O Abel ensinou muita coisa desde a morte do seu filho... certamente é um homem abençoado! "	Bom								
									
"Não sei se eu teria toda essa força!"""	Neutro								
"17510,""domingueira da melhor forma, só agradeço !"""	Bom								
"18006,""@PabloAn9 @FFeniar Que bad do crl parça, sai dessa"""	Neutro								
"14830,""amanhã lança o corte, pq sexta não deu 🤦🏻‍♀️"""	Neutro								
21532,🐙- agora sim pode pegar ele rs	Bom								
8208,hmm nao gostei dessa minha pack	Ruim								
"19833,""Segunda eu tô linda, quarta eu sou cinza"""	Neutro								
11745,o meu grande amor https://t.co/dHZm7fm6z4	Bom								
"10530,""Mô, sou esse cara que você está vendo 🤷🏽‍♀️🤷🏽‍♀️ https://t.co/vShjJPDOR7"""	Bom								
7667,tchau vou assistir filme mores	Bom								
9857,Aiaiaiaiaiaiaiaiaiaiaaaaaaa iaiaaiaiaiaiaiaiaiaiaiaiiiiii 🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎#GoTS7	Neutro								
"17444,""Vamos subir essa tag pra mana, os três milhões tá chegando VIVIAN RUMO TRÊS MILHÕES"""	Neutro								
18004,gnt to mto feliz de verdade	Bom								
842,Que frio 😬😬	Ruim								
5214,tô jogado kk	Neutro								
18443,E ainda sim tem pessoa que não dá valor nisso https://t.co/bxQffW1kct	Bom								
18062,@becca_siss tem como vossa senhoria me dizer quem é	Neutro								
5048,eu to triste cm esse video  aah https://t.co/vS7hyRNMG0	Neutro								
"5558,""Faz tanto tempo q eu não vou à praia, sentar no banco e fazer absolutamente nd, estou morrendo de vontade"""	Ruim								
"13367,""@Alakurt79 Bom dia abençoado, obrigada por nos avisar de sua conta no instagram,"""	Bom								
"16083,""Tântrica, natural e mágica, o sutil e o corpóreo, no eterno e transitório instante que se passava"""	Bom								
11773,pensei que ia vir uma bomba	Neutro								
"10969,""Índices de rejeição parecidos, zé Ricardo no Flamengo e Temer no Jaburu."	Neutro								
- Zé Ricardo caiu.	Neutro								
"- Temer ñ caiu pq comprou o time e a diretoria."""	Neutro								
5698,@CesarFilho @macmarcoaurelio Marco Aurélio Cunha...mais um ridículo.... Esse sr. se omitiu e apoiou esse lixo de presidente que temos  hoje	Ruim								
22157,Boa noite!	Bom								
"18358,""Meu Deus, minha mãe não dorme NUNCA. Acho que já ouvi ela trancando as portas lá debaixo mais de 4 vezes"""	Ruim								
5832,Amor da minha vida https://t.co/Nwqv7HEyei	Bom								
3595,FALSO DO CARALHO	Neutro								
"13657,""@dinahjane97 You're just everything to me! I'm very proud to be your fan. Follow me and fulfill my dream, I beg you please. x221"""	Bom								
22151,Que saudade de umas pessoas	Bom								
5478,Meu deus do ceu eu amo tanto lee minhyuk eu vou morrer de amor	Bom								
14444,Tem 'relacionamento' que terminar é a maior prova de amor. Amor próprio.	Bom								
6717,Eu n sei pq estou chorando	Ruim								
22730,Novinha você ta na minha mira 🎶	Bom								
"14943,""Gi e Daniel é um dos meus casais preferidos, sem mais 😍"""	Bom								
13302,@marinafvieira Eu nao tenho net now amiga comofas	Ruim								
"11111,""mano "	Neutro								
o drogon ferido e a dany descendo dele pra tirar a porra daquela flecha de ferro 	Neutro								
"que mãe bicho #GoTS7"""	Neutro								
6278,nem uso mais meus instas	Neutro								
23243,Dps de mil anos assisti cinquenta tons mais escuros e cara! QUE FILMÃO DA PORRA	Bom								
"3933,""mo fita, um mês atrás eu achava q tinha me apx, mas era só pq eu gostava mt da companhia do gabriel e nd mais q isso pq eu cagava p tudo"""	Neutro								
10261,não trabalho com regressão só com lançamento	Neutro								
"20230,""ele é tão legal, pena que da umas mancadas mostras"""	Ruim								
6931,#RuedaNoFlamengo https://t.co/ZL3Wl4u2it	Neutro								
22661,Eu queria tanto fazer couple :c	Neutro								
10758,o problema de começar got é que ja sei tudo o que aconteceu https://t.co/QO4X4DG1ch	Ruim								
1256,vendo decepçoes 10 centavos cada	Ruim								
21656,Eu bebi saudade a semana inteira	Ruim								
"14025,""ZR fez um esforço hercúleo pra ser demitido."	Ruim								
Se perdeu com falta de padrão ao time.	Neutro								
"Se apegou aos perebas."""	Ruim								
"20759,""""""ah, cagueta"""""	Neutro								
enfia eles no cu então porra	Ruim								
"dps que for assaltado, n reclama não, tomar no cu p lá"""	Ruim								
20637,Fui 😂💤🐶 https://t.co/0Q3unuQ2zj	Neutro								
"21307,""Preciso ganhar dinheiro, final do ano quero viajar!! ✈🌐"""	Neutro								
2467,EU QUERO VER DRAGAO FAZENDO CHURRASCO DE HUMANOOOO #GoTS7	Bom								
"3736,""Will fica toda hora falando p mim """"para môooo"""" KKKKKKKK essa criança é dms aaaaa como eu amo"""	Bom								
"11302,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x206"""	Bom								
8348,Nossa quando eu ver esse menino vou socar a cara dele no asfalto	Ruim								
13403,se afasta mesmo de mim vai	Ruim								
11082,Queria ter paciência pra responder td mundo q me chama no wpp queria mt	Neutro								
19370,eu cansei de ser ignorada	Ruim								
"15653,""@carolmoreira3 Escorpião, drogon, mindinho e arya"""	Neutro								
"5580,""""""Eu escolhi ensinar a amar o Amor."""""	Bom								
"- Santa Teresinha do Menino Jesus ❤️"""	Bom								
1845,qm nunca stalk e se arrependeu né não	Neutro								
22887,Empregado com identificação com o Flamengo só Luxemburgo..Será?	Neutro								
21118,Revoltada 🙄🙄	Ruim								
2402,EU EATOU MUITO TRISTE https://t.co/SLI3KQNE0w	Ruim								
"10643,""Assisti Fragmentado hoje, e nossa, que filme bommm"""	Bom								
13802,#IveteAVontade a tag caiu	Ruim								
3321,@joaoo Se fizer bem gostosinho a gente consegue superar a anaconda hahahaha	Bom								
"22708,""@_NHernandez Amooooooo, MENINA você viu aquele negócio que amassa o alho mais fácil? Uma delícia"""	Bom								
"13017,""@julioof_ menina, nem parece a dany do episódio missah"""	Neutro								
22643,não quero acordar cedo amanhã 😖	Ruim								
5368,Falto a companhia no Dogao	Neutro								
5426,Gente na boa de problemática já tem eu certo🤙🏿	Neutro								
20049,acho que preciso de outras férias	Ruim								
7916,chorando de odio de certos @ na timeline que ultimamente só falam MERDAAAAAAA	Ruim								
3897,vou voltar a assistir House que eu ganho mais.	Bom								
9701,METE FOGO EM TUDO AAAAAAAAAAAA #GAMEOFTHRONES	Bom								
"1625,""11. Elymar Santos """"Eu e você"""" #NãoErreALetra #ProgramaSilvioSantos"""	Neutro								
18401,@Ribas_Camila29 Boa noite!	Bom								
6502,a mala é falsa amor	Neutro								
"17973,""@naugustor @Paibiell @nathaliaribeirx Ah, beleza... a que passou e cumprimentou todo mundo menos o ex"""	Neutro								
1483,Tava lembrando do sonho que eu tive com o ex mozão	Bom								
7315,@Ixraelito Fala um sensei mal	Neutro								
21120,para todas as minhas amigas sz amo vocês https://t.co/eJcFoKsBy5	Bom								
"237,""""""venceu em 2014!! sabe quanto tempo tem isso??? SETE ANOS"""""""	Neutro								
"21269,""@BastardS_oul como assim, que eu to usando agora"""	Neutro								
3845,@AFazendaVTL_ me coloca haha	Bom								
"2682,""Odeio que fiquem martelando os bglho na minha cabeça, vai se foder caralho"""	Ruim								
6285,pronto agora a daenerys acredita que o rei da noite existe #GameOfThrones	Bom								
2702,Começooooooou \o/ #GOTS07E04	Bom								
"19638,""Aquele momento q você começa a """"quase"""" surtar de ciúmes ........."""	Neutro								
